"","Date","DateTime","isCar","Municipality_Code","Reason","Count"
"348",2012-01-29,2012-01-29 18:55:00,"1","0319","Technical Malfunctioning",1
"349",2012-01-29,2012-01-29 21:32:00,"1","1490","Other Reason",1
"350",2012-01-29,2012-01-29 23:14:00,"1","0380","Other Reason",1
"351",2012-01-30,2012-01-30 00:20:00,"1","0662","Other Reason",1
"352",2012-01-30,2012-01-30 00:54:00,"1","0181","Other Reason",1
"353",2012-01-30,2012-01-30 01:22:00,"1","1287","Arson",1
"354",2012-01-30,2012-01-30 01:49:00,"1","1981","Arson",1
"355",2012-01-30,2012-01-30 04:12:00,"1","1480","Other Reason",1
"356",2012-01-30,2012-01-30 05:21:00,"1","0486","Other Reason",1
"357",2012-01-30,2012-01-30 05:25:00,"1","2281","Technical Malfunctioning",1
"358",2012-01-30,2012-01-30 06:47:00,"1","0163","Other Reason",1
"359",2012-01-30,2012-01-30 08:27:00,"0","0180","Technical Malfunctioning",1
"360",2012-01-30,2012-01-30 10:43:00,"1","1490","Technical Malfunctioning",1
"361",2012-01-30,2012-01-30 20:44:00,"0","0580","Other Reason",1
"362",2012-01-31,2012-01-31 02:14:00,"1","0883","Other Reason",1
"363",2012-01-31,2012-01-31 02:32:00,"1","0680","Arson",1
"364",2012-01-31,2012-01-31 03:56:00,"1","0761","Arson",1
"365",2012-01-31,2012-01-31 07:25:00,"1","1280","Other Reason",1
"366",2012-01-31,2012-01-31 11:29:00,"1","1277","Other Reason",1
"367",2012-01-31,2012-01-31 18:28:00,"1","1480","Arson",1
"368",2012-01-31,2012-01-31 19:47:00,"1","1480","Technical Malfunctioning",1
"369",2012-01-31,2012-01-31 20:01:00,"1","1482","Other Reason",1
"370",2012-02-01,2012-02-01 01:18:00,"1","1282","Other Reason",1
