"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"4092",2015-09-07,2015-09-07 00:53:00,"1","0180","Arson","måndag",12.6,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4093",2015-09-08,2015-09-08 00:03:00,"1","0180","Arson","tisdag",12.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4094",2015-09-08,2015-09-08 01:43:00,"1","0180","Arson","tisdag",12.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4095",2015-09-08,2015-09-08 04:43:00,"1","0181","Other Reason","tisdag",12.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4096",2015-09-08,2015-09-08 18:41:00,"1","0117","Technical Malfunctioning","tisdag",11.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4097",2015-09-09,2015-09-09 13:48:00,"0","0160","Technical Malfunctioning","onsdag",11.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4098",2015-09-09,2015-09-09 20:49:00,"1","0187","Arson","onsdag",11.9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4099",2015-09-10,2015-09-10 03:06:00,"1","0138","Other Reason","torsdag",13.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4100",2015-09-10,2015-09-10 18:35:00,"1","0139","Other Reason","torsdag",12.8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4101",2015-09-11,2015-09-11 00:28:00,"1","0127","Other Reason","fredag",12.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4102",2015-09-11,2015-09-11 22:17:00,"1","0180","Arson","fredag",13.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4103",2015-09-11,2015-09-11 23:40:00,"1","0123","Other Reason","fredag",12.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4104",2015-09-12,2015-09-12 00:31:00,"1","0180","Arson","lördag",15.2,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4105",2015-09-12,2015-09-12 01:56:00,"1","0188","Arson","lördag",14.5,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4106",2015-09-12,2015-09-12 15:37:00,"1","0180","Technical Malfunctioning","lördag",15.2,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"4107",2015-09-13,2015-09-13 00:08:00,"1","0182","Other Reason","söndag",14.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"4108",2015-09-13,2015-09-13 01:49:00,"1","0181","Other Reason","söndag",14.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
